ROW\COL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ
11,1190017014,"=VLOOKUP(A11,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A11,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A11,'Aji Plus'!$A$2:$D$58,4,0)",10.754204097603717,13.517347008085732,12.661161880894124,7.91322617555883,14.308669625641619,15.567002312574743,11.934701772973966,15.022157231634626,10.780149101458006,17.1496475476865,15.631864822210469,8.406181248790359,,"=VLOOKUP(A11,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A11,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A11,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A11,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A11,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A11,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R11/E11,=S11/F11,=T11/G11,=U11/H11,=V11/I11,=W11/J11,=X11/K11,=Y11/L11,=Z11/M11,=AA11/N11,=AB11/O11,=AC11/P11,,"=ROUND(AE11,4)","=ROUND(AF11,4)","=ROUND(AG11,4)","=ROUND(AH11,4)","=ROUND(AI11,4)","=ROUND(AJ11,4)","=ROUND(AK11,4)","=ROUND(AL11,4)","=ROUND(AM11,4)","=ROUND(AN11,4)","=ROUND(AO11,4)","=ROUND(AP11,4)",,"=IFERROR(VLOOKUP(AR11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB11,'WS WH'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC11,'WS WH'!$A$19:$C$28,3),0)",=SUM(BE11:BP11)
12,1190021901,"=VLOOKUP(A12,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A12,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A12,'Aji Plus'!$A$2:$D$58,4,0)",52.50705284935112,44.55143878126761,135.5990220048899,57.98758698514199,50.20876434079366,176.08425804024816,51.97667857814555,125.52191085198415,49.855181493323265,79.20255783336464,60.993041188640184,55.51250705284931,,"=VLOOKUP(A12,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A12,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A12,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A12,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A12,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A12,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R12/E12,=S12/F12,=T12/G12,=U12/H12,=V12/I12,=W12/J12,=X12/K12,=Y12/L12,=Z12/M12,=AA12/N12,=AB12/O12,=AC12/P12,,"=ROUND(AE12,4)","=ROUND(AF12,4)","=ROUND(AG12,4)","=ROUND(AH12,4)","=ROUND(AI12,4)","=ROUND(AJ12,4)","=ROUND(AK12,4)","=ROUND(AL12,4)","=ROUND(AM12,4)","=ROUND(AN12,4)","=ROUND(AO12,4)","=ROUND(AP12,4)",,"=IFERROR(VLOOKUP(AR12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB12,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC12,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE12:BP12)
13,1190021902,"=VLOOKUP(A13,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A13,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A13,'Aji Plus'!$A$2:$D$58,4,0)",63.67876622155349,54.03046830919689,164.44987775061114,70.32537145006582,60.8914801579838,213.54899379349243,63.03554636072971,152.2287003949595,60.4626669174346,96.0541658830167,73.97028399473383,67.3236787662215,,"=VLOOKUP(A13,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A13,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A13,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A13,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A13,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A13,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R13/E13,=S13/F13,=T13/G13,=U13/H13,=V13/I13,=W13/J13,=X13/K13,=Y13/L13,=Z13/M13,=AA13/N13,=AB13/O13,=AC13/P13,,"=ROUND(AE13,4)","=ROUND(AF13,4)","=ROUND(AG13,4)","=ROUND(AH13,4)","=ROUND(AI13,4)","=ROUND(AJ13,4)","=ROUND(AK13,4)","=ROUND(AL13,4)","=ROUND(AM13,4)","=ROUND(AN13,4)","=ROUND(AO13,4)","=ROUND(AP13,4)",,"=IFERROR(VLOOKUP(AR13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB13,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC13,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE13:BP13)
14,1190022001,"=VLOOKUP(A14,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A14,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A14,'Aji Plus'!$A$2:$D$58,4,0)",708.8452134662401,601.4444235471128,1830.5867970660136,782.8324242994169,677.8183186007144,2377.1374835433503,701.685160804965,1694.545796501786,673.0449501598641,1069.2345307504227,823.4060560466424,749.4188452134656,,"=VLOOKUP(A14,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A14,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A14,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A14,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A14,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A14,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R14/E14,=S14/F14,=T14/G14,=U14/H14,=V14/I14,=W14/J14,=X14/K14,=Y14/L14,=Z14/M14,=AA14/N14,=AB14/O14,=AC14/P14,,"=ROUND(AE14,4)","=ROUND(AF14,4)","=ROUND(AG14,4)","=ROUND(AH14,4)","=ROUND(AI14,4)","=ROUND(AJ14,4)","=ROUND(AK14,4)","=ROUND(AL14,4)","=ROUND(AM14,4)","=ROUND(AN14,4)","=ROUND(AO14,4)","=ROUND(AP14,4)",,"=IFERROR(VLOOKUP(AR14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB14,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC14,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE14:BP14)
15,1190022101,"=VLOOKUP(A15,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A15,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A15,'Aji Plus'!$A$2:$D$58,4,0)",181.54034229828844,154.03422982885078,468.8264058679704,200.4889975550122,173.5941320293398,608.8019559902197,179.7066014669926,433.9853300733495,172.37163814180917,273.8386308068458,210.8801955990219,191.93154034229812,,"=VLOOKUP(A15,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A15,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A15,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A15,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A15,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A15,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R15/E15,=S15/F15,=T15/G15,=U15/H15,=V15/I15,=W15/J15,=X15/K15,=Y15/L15,=Z15/M15,=AA15/N15,=AB15/O15,=AC15/P15,,"=ROUND(AE15,4)","=ROUND(AF15,4)","=ROUND(AG15,4)","=ROUND(AH15,4)","=ROUND(AI15,4)","=ROUND(AJ15,4)","=ROUND(AK15,4)","=ROUND(AL15,4)","=ROUND(AM15,4)","=ROUND(AN15,4)","=ROUND(AO15,4)","=ROUND(AP15,4)",,"=IFERROR(VLOOKUP(AR15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB15,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC15,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE15:BP15)
16,1190022201,"=VLOOKUP(A16,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A16,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A16,'Aji Plus'!$A$2:$D$58,4,0)",385,279,285,139,392,153,236,199,189,367,178,176,,"=VLOOKUP(A16,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A16,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A16,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A16,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A16,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A16,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R16/E16,=S16/F16,=T16/G16,=U16/H16,=V16/I16,=W16/J16,=X16/K16,=Y16/L16,=Z16/M16,=AA16/N16,=AB16/O16,=AC16/P16,,"=ROUND(AE16,4)","=ROUND(AF16,4)","=ROUND(AG16,4)","=ROUND(AH16,4)","=ROUND(AI16,4)","=ROUND(AJ16,4)","=ROUND(AK16,4)","=ROUND(AL16,4)","=ROUND(AM16,4)","=ROUND(AN16,4)","=ROUND(AO16,4)","=ROUND(AP16,4)",,"=IFERROR(VLOOKUP(AR16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB16,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC16,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE16:BP16)
17,1190022301,"=VLOOKUP(A17,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A17,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A17,'Aji Plus'!$A$2:$D$58,4,0)",200,169,172,165,308,166,285,150,184,210,175,287,,"=VLOOKUP(A17,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A17,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A17,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A17,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A17,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A17,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R17/E17,=S17/F17,=T17/G17,=U17/H17,=V17/I17,=W17/J17,=X17/K17,=Y17/L17,=Z17/M17,=AA17/N17,=AB17/O17,=AC17/P17,,"=ROUND(AE17,4)","=ROUND(AF17,4)","=ROUND(AG17,4)","=ROUND(AH17,4)","=ROUND(AI17,4)","=ROUND(AJ17,4)","=ROUND(AK17,4)","=ROUND(AL17,4)","=ROUND(AM17,4)","=ROUND(AN17,4)","=ROUND(AO17,4)","=ROUND(AP17,4)",,"=IFERROR(VLOOKUP(AR17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB17,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC17,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE17:BP17)
18,1190022302,"=VLOOKUP(A18,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A18,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A18,'Aji Plus'!$A$2:$D$58,4,0)",235,199,202,194,363,195,200,177,261,247,206,217,,"=VLOOKUP(A18,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A18,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A18,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A18,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A18,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A18,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R18/E18,=S18/F18,=T18/G18,=U18/H18,=V18/I18,=W18/J18,=X18/K18,=Y18/L18,=Z18/M18,=AA18/N18,=AB18/O18,=AC18/P18,,"=ROUND(AE18,4)","=ROUND(AF18,4)","=ROUND(AG18,4)","=ROUND(AH18,4)","=ROUND(AI18,4)","=ROUND(AJ18,4)","=ROUND(AK18,4)","=ROUND(AL18,4)","=ROUND(AM18,4)","=ROUND(AN18,4)","=ROUND(AO18,4)","=ROUND(AP18,4)",,"=IFERROR(VLOOKUP(AR18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB18,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC18,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE18:BP18)
19,1190022401,"=VLOOKUP(A19,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A19,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A19,'Aji Plus'!$A$2:$D$58,4,0)",152.5010241900132,129.44245008568123,131.2242489937433,125.94872673654002,235.6167026660822,126.61253417287685,217.79871358546208,114.62906308532257,237.15394093970428,160.50165065954647,133.5650436376678,140.83198820388154,,"=VLOOKUP(A19,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A19,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A19,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A19,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A19,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A19,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R19/E19,=S19/F19,=T19/G19,=U19/H19,=V19/I19,=W19/J19,=X19/K19,=Y19/L19,=Z19/M19,=AA19/N19,=AB19/O19,=AC19/P19,,"=ROUND(AE19,4)","=ROUND(AF19,4)","=ROUND(AG19,4)","=ROUND(AH19,4)","=ROUND(AI19,4)","=ROUND(AJ19,4)","=ROUND(AK19,4)","=ROUND(AL19,4)","=ROUND(AM19,4)","=ROUND(AN19,4)","=ROUND(AO19,4)","=ROUND(AP19,4)",,"=IFERROR(VLOOKUP(AR19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB19,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC19,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE19:BP19)
20,1190022402,"=VLOOKUP(A20,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A20,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A20,'Aji Plus'!$A$2:$D$58,4,0)",95.55580440760376,81.10750408480452,82.22396365520267,78.91836767225918,147.6353596620572,79.33430359064279,136.47076395807596,71.82556569561231,148.5985796835771,100.56892679233253,83.69068505160799,88.2440887897023,,"=VLOOKUP(A20,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A20,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A20,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A20,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A20,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A20,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R20/E20,=S20/F20,=T20/G20,=U20/H20,=V20/I20,=W20/J20,=X20/K20,=Y20/L20,=Z20/M20,=AA20/N20,=AB20/O20,=AC20/P20,,"=ROUND(AE20,4)","=ROUND(AF20,4)","=ROUND(AG20,4)","=ROUND(AH20,4)","=ROUND(AI20,4)","=ROUND(AJ20,4)","=ROUND(AK20,4)","=ROUND(AL20,4)","=ROUND(AM20,4)","=ROUND(AN20,4)","=ROUND(AO20,4)","=ROUND(AP20,4)",,"=IFERROR(VLOOKUP(AR20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB20,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC20,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE20:BP20)
21,1190022510,"=VLOOKUP(A21,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A21,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A21,'Aji Plus'!$A$2:$D$58,4,0)",164.83776351970673,200,200,200,254.67717690192487,200,235.41778185151236,200,238,200,144.36993583868002,152.22474793767182,,"=VLOOKUP(A21,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A21,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A21,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A21,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A21,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A21,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R21/E21,=S21/F21,=T21/G21,=U21/H21,=V21/I21,=W21/J21,=X21/K21,=Y21/L21,=Z21/M21,=AA21/N21,=AB21/O21,=AC21/P21,,"=ROUND(AE21,4)","=ROUND(AF21,4)","=ROUND(AG21,4)","=ROUND(AH21,4)","=ROUND(AI21,4)","=ROUND(AJ21,4)","=ROUND(AK21,4)","=ROUND(AL21,4)","=ROUND(AM21,4)","=ROUND(AN21,4)","=ROUND(AO21,4)","=ROUND(AP21,4)",,"=IFERROR(VLOOKUP(AR21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB21,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC21,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE21:BP21)
