ROW\COL,A,B,C,D,E,F,G,H
37,1190037302,Chonburi,,,,158.39999999999998,40.032,212.83199999999994
38,1190037401,Sa Kaeo,40.32,5.76,2.88,25.92,31.679999999999993,28.799999999999997
39,1190043401,Korat,182.592,138.24,139.39200000000002,177.984,230.40000000000003,167.328
40,1190043402,Korat,144,40.32,158.976,40.32,88.704,69.12
41,1190043501,Ubolratchathani,466.55999999999983,277.05600000000004,202.464,151.48800000000003,228.096,262.368
42,1190043502,Ubolratchathani,212.54399999999995,277.91999999999996,252.86400000000006,41.75999999999999,228.67200000000005,184.31999999999996
43,1190043601,Roi-et,138.816,112.32000000000001,79.488,35.712,145.15200000000002,112.32000000000002
44,1190043602,Roi-et,184.896,219.456,304.70400000000006,156.09599999999998,139.968,131.328
45,1190043701,Surin,134.78400000000002,199.87199999999999,277.0559999999999,203.32799999999997,479.80799999999994,244.80000000000004
46,1190043702,Surin,154.368,106.56,100.80000000000001,174.528,37.44,168.768
47,1190043801,Khonkaen,86.4,330.04800000000006,92.73599999999999,179.712,218.88000000000005,291.456
48,1190043802,Khonkaen,55.87199999999999,23.04,,11.52,17.855999999999998,20.736
49,1190043811,Khonkaen,,,0.28800000000000003,,,
50,1190043901,Udonthani,281.0880000000001,208.51200000000006,130.176,45.504000000000005,177.984,173.37599999999998
51,1190043902,Udonthani,268.99199999999996,236.16,214.27200000000002,344.448,176.25599999999994,51.839999999999996
52,1190044001,S.Nakon,179.71200000000002,129.60000000000002,69.11999999999999,218.88000000000002,434.30400000000003,179.712
53,1190044002,S.Nakon,110.592,74.88,105.98400000000001,78.336,17.28,245.37599999999995
54,1190044012,S.Nakon,,0.48,,,,
55,1190044013,S.Nakon,,,,,,3.456
56,1190044101,Chumphae,542.5920000000001,375.552,114.048,205.632,260.928,155.52
57,1190054201,Hat-yai,203.90400000000005,127.296,179.13600000000002,115.2,138.24,254.59200000000004
58,1190054202,Hat-yai,152.064,61.632000000000005,87.55200000000002,118.08000000000001,153.21599999999998,179.71199999999996
59,1190054301,Suratthani,60.48,72.576,52.416,110.592,40.32,221.75999999999996
60,1190054401,N.Thamarat,279.936,183.168,275.90400000000005,292.032,361.15200000000004,317.95199999999994
61,1190054501,Trang,52.416,65.664,59.904,41.47200000000001,17.28,66.24
62,1190054601,Phuket,1077.12,896.2560000000001,1014.9119999999999,1001.6640000000001,1009.7280000000001,1145.0879999999997
