Cell,Formula
T2,"=IF(AND(IFERROR(AVERAGEIFS(Q:Q,S:S,A2),"""")>0,IFERROR(AVERAGEIFS(Q:Q,S:S,A2),"""")<1),1,IFERROR(AVERAGEIFS(Q:Q,S:S,A2),""""))"
U2,"=IF(F2=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A2)*VLOOKUP('1) For HR'!F2,T_SectAbove!A:B,2,FALSE),""""),0)"
V2,"=IF(F2=""Department Manager"",VLOOKUP(A2,ASTBase!F:S,14,FALSE),"""")"
W2,"=IFERROR(AVERAGEIFS(T:T,V:V,A2),"""")"
X2,"=IF(F2=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A2)*VLOOKUP('1) For HR'!F2,T_SectAbove!A:B,2,FALSE),""""),0)"
B3,"=IF(IF(VLOOKUP(A3,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A3,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A3,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A3,ASTBase!F:P,11,FALSE)))"
C3,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D3,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E3,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F3,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H3,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I3,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J3,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A3,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K3,"=IF(ROUND(P3+R3+U3+X3,2)<O3,O3,ROUND(P3+R3+U3+X3,2))"
L3,=Period!$A$2
M3,=Period!$B$2
P3,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B3,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L3,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B3,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L3,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q3,"=IF(AND(IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B3),"""")>0,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B3),"""")<1),1,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B3),""""))"
R3,"=IF(F3=""Section Manager"",IF(Q3>0,Q3*T_SectAbove!$B$4,0),0)"
S3,"=IF(F3=""Section Manager"",VLOOKUP(A3,ASTBase!F:S,13,FALSE),"""")"
T3,"=IFERROR(AVERAGEIFS(Q:Q,S:S,A3),"""")"
U3,"=IF(F3=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A3)*VLOOKUP('1) For HR'!F3,T_SectAbove!A:B,2,FALSE),""""),0)"
V3,"=IF(F3=""Department Manager"",VLOOKUP(A3,ASTBase!F:S,14,FALSE),"""")"
W3,"=IF(AND(IFERROR(AVERAGEIFS(T:T,V:V,A3),"""")>0,IFERROR(AVERAGEIFS(T:T,V:V,A3),"""")<1),1,IFERROR(AVERAGEIFS(T:T,V:V,A3),""""))"
X3,"=IF(F3=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A3)*VLOOKUP('1) For HR'!F3,T_SectAbove!A:B,2,FALSE),""""),0)"
B4,"=IF(IF(VLOOKUP(A4,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A4,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A4,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A4,ASTBase!F:P,11,FALSE)))"
C4,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D4,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E4,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F4,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H4,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I4,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J4,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A4,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K4,"=IF(ROUND(P4+R4+U4+X4,2)<O4,O4,ROUND(P4+R4+U4+X4,2))"
L4,=Period!$A$2
M4,=Period!$B$2
P4,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B4,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L4,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B4,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L4,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q4,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B4),"""")"
R4,"=IF(F4=""Section Manager"",IF(Q4>0,Q4*T_SectAbove!$B$4,0),0)"
S4,"=IF(F4=""Section Manager"",VLOOKUP(A4,ASTBase!F:S,13,FALSE),"""")"
T4,"=IF(AND(IFERROR(AVERAGEIFS(Q:Q,S:S,A4),"""")>0,IFERROR(AVERAGEIFS(Q:Q,S:S,A4),"""")<1),1,IFERROR(AVERAGEIFS(Q:Q,S:S,A4),""""))"
U4,"=IF(F4=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A4)*VLOOKUP('1) For HR'!F4,T_SectAbove!A:B,2,FALSE),""""),0)"
V4,"=IF(F4=""Department Manager"",VLOOKUP(A4,ASTBase!F:S,14,FALSE),"""")"
W4,=
X4,"=IF(F4=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A4)*VLOOKUP('1) For HR'!F4,T_SectAbove!A:B,2,FALSE),""""),0)"
B5,"=IF(IF(VLOOKUP(A5,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A5,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A5,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A5,ASTBase!F:P,11,FALSE)))"
C5,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D5,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E5,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F5,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H5,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I5,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J5,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A5,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K5,=
L5,=Period!$A$2
M5,=Period!$B$2
P5,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B5,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L5,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B5,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L5,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q5,"=IF(AND(IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B5),"""")>0,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B5),"""")<1),1,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B5),""""))"
R5,"=IF(F5=""Section Manager"",IF(Q5>0,Q5*T_SectAbove!$B$4,0),0)"
S5,"=IF(F5=""Section Manager"",VLOOKUP(A5,ASTBase!F:S,13,FALSE),"""")"
T5,=
U5,"=IF(F5=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A5)*VLOOKUP('1) For HR'!F5,T_SectAbove!A:B,2,FALSE),""""),0)"
V5,"=IF(F5=""Department Manager"",VLOOKUP(A5,ASTBase!F:S,14,FALSE),"""")"
W5,=
X5,"=IF(F5=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A5)*VLOOKUP('1) For HR'!F5,T_SectAbove!A:B,2,FALSE),""""),0)"
B6,"=IF(IF(VLOOKUP(A6,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A6,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A6,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A6,ASTBase!F:P,11,FALSE)))"
C6,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D6,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E6,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F6,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H6,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I6,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J6,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A6,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K6,=
L6,=Period!$A$2
M6,=Period!$B$2
P6,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B6,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L6,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B6,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L6,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q6,"=IF(AND(IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B6),"""")>0,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B6),"""")<1),1,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B6),""""))"
R6,"=IF(F6=""Section Manager"",IF(Q6>0,Q6*T_SectAbove!$B$4,0),0)"
S6,"=IF(F6=""Section Manager"",VLOOKUP(A6,ASTBase!F:S,13,FALSE),"""")"
T6,=
U6,"=IF(F6=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A6)*VLOOKUP('1) For HR'!F6,T_SectAbove!A:B,2,FALSE),""""),0)"
V6,"=IF(F6=""Department Manager"",VLOOKUP(A6,ASTBase!F:S,14,FALSE),"""")"
W6,=
X6,"=IF(F6=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A6)*VLOOKUP('1) For HR'!F6,T_SectAbove!A:B,2,FALSE),""""),0)"
B7,"=IF(IF(VLOOKUP(A7,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A7,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A7,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A7,ASTBase!F:P,11,FALSE)))"
C7,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D7,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E7,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F7,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H7,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I7,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J7,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A7,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K7,=
L7,=Period!$A$2
M7,=Period!$B$2
P7,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B7,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L7,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B7,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L7,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q7,"=IF(AND(IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B7),"""")>0,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B7),"""")<1),1,IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B7),""""))"
R7,"=IF(F7=""Section Manager"",IF(Q7>0,Q7*T_SectAbove!$B$4,0),0)"
S7,"=IF(F7=""Section Manager"",VLOOKUP(A7,ASTBase!F:S,13,FALSE),"""")"
T7,=
U7,"=IF(F7=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A7)*VLOOKUP('1) For HR'!F7,T_SectAbove!A:B,2,FALSE),""""),0)"
V7,"=IF(F7=""Department Manager"",VLOOKUP(A7,ASTBase!F:S,14,FALSE),"""")"
W7,=
X7,"=IF(F7=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A7)*VLOOKUP('1) For HR'!F7,T_SectAbove!A:B,2,FALSE),""""),0)"
